Player,ID,Club,Position,Age,Games,UF,Total,available,onTeam,Std,AboveAve,Link
Gary Ablett,7,GCS,MID,31.8,6,120.7,724.2,TRUE,FALSE,57.68101941,66.66666667,pp-gold-coast-suns--gary-jnr-ablett
Aaron Hall,187,GCS,FWD,25,15,81.5,1222.5,TRUE,FALSE,42.26221999,53.33333333,pp-gold-coast-suns--aaron-hall
Tom Rockliff,30,BRI,MID,26,16,109.8,1756.8,TRUE,FALSE,40.89412142,56.25,pp-brisbane-lions--tom-rockliff
Charlie Dixon,267,PAP,FWD,25,16,72.8,1164.8,TRUE,FALSE,38.39308749,37.5,pp-port-adelaide-power--charlie-dixon
Adam Oxley,196,COL,DEF,23,17,80.5,1368.5,TRUE,FALSE,37.62332662,47.05882353,pp-collingwood-magpies--adam-oxley
Jarrad Waite,224,NTM,FWD,33,20,77.4,1548,TRUE,FALSE,37.46133712,60.86956522,pp-kangaroos--jarrad-waite
Lachie Hunter,195,WBD,FWD,21,12,80.6,967.2,TRUE,FALSE,36.28713836,53.84615385,pp-western-bulldogs--lachlan-hunter
Kurt Tippett,104,SYD,FWD,28.8,20,92.8,1856,TRUE,FALSE,36.17217725,40.90909091,pp-sydney-swans--kurt-tippett
Zac Williams,262,GWS,DEF,21,12,73.3,879.6,TRUE,FALSE,35.86960814,75,pp-greater-western-sydney-giants--zachary-williams
Mitch Duncan,108,GEE,MID,24.7,11,91.9,1010.9,TRUE,FALSE,35.64343622,45.45454545,pp-geelong-cats--mitchell-duncan
Josh Caddy,80,GEE,MID,23.3,19,98.7,1875.3,TRUE,FALSE,34.93142823,57.89473684,pp-geelong-cats--josh-caddy
Jake Spencer,199,MEL,RUC,26.3,7,80.4,562.8,TRUE,FALSE,34.335876,42.85714286,pp-melbourne-demons--jake-spencer
Pearce Hanley,125,BRI,"DEF,MID",27,11,89.3,982.3,TRUE,FALSE,34.21801758,36.36363636,pp-brisbane-lions--pearce-hanley
Ben McGlynn,116,SYD,MID,30.5,7,90.7,634.9,TRUE,FALSE,34.18617329,55.55555556,pp-sydney-swans--ben-mcglynn
Sam Gray,146,PAP,FWD,23,10,86.9,869,TRUE,FALSE,34.1482064,50,pp-port-adelaide-power--sam-gray
Mark Hutchings,205,WCE,MID,24.7,10,79.9,799,TRUE,FALSE,33.9203441,53.84615385,pp-west-coast-eagles--mark-hutchings
Steven Motlop,158,GEE,"MID,FWD",24.9,20,85.3,1706,TRUE,FALSE,33.8882063,55,pp-geelong-cats--steven-motlop
Jack Martin,245,GCS,FWD,21,12,74.7,896.4,TRUE,FALSE,33.78934295,58.33333333,pp-gold-coast-suns--jack-martin
