#TYPE System.Management.Automation.PSCustomObject
"Name","ID","Club","Position","age","Projected_2017","2012_FirstHalf","2012_SecondHalf","2013_FirstHalf","2013_SecondHalf","2014_FirstHalf","2014_SecondHalf","2015_FirstHalf","2015_SecondHalf","2016_FirstHalf","2016_SecondHalf"
"Gary Ablett","3","Gold Coast Suns","MID","32","110.8587745","144","141.333333333333","120.6","137.272727272727","141","146.3","137.5","87","125","116.7"
"David Armitage","15","St Kilda","MID","28","98.13636364","94.6","99.8181818181818","91.5454545454545","103.2","111.545454545455","94.75","112.7","128.272727272727","90.9090909090909","105.363636363636"
"Eddie Betts","39","Adelaide Crows","FWD","30","91.72727273","83.4545454545455","79.7272727272727","69.5454545454545","70","84.25","67.2","71.0909090909091","92.3","90.6363636363636","92.8181818181818"
"Grant Birchall","42","Hawthorn","DEF","29","87.45454545","102.272727272727","103.222222222222","80.6","98.6666666666667","90","91.4","86.0909090909091","92.4285714285714","91.4545454545455","83.4545454545455"
"Travis Boak","50","Port Adelaide","MID","28","96.36363636","99.75","81.4","108.545454545455","108.4","110.454545454545","105.5","101.272727272727","107.363636363636","103.909090909091","88.8181818181818"
"Matthew Boyd","60","Western Bulldogs","DEF","34","104.8802479","124.583333333333","126.3","119.142857142857","100.666666666667","87.5","118.111111111111","114.1","118.375","112.7","112.6"
"Nathan Brown","75","St Kilda","DEF","28","64.75","56.3","57.2","57.8","56.1818181818182",,"26.3333333333333","63.3","57.0909090909091","72.4","52"
"Shaun Burgoyne","83","Hawthorn","DEF,MID","34","93.22970826","87.7","85.7272727272727","80.3","93.6","90.4166666666667","106.5","87.1666666666667","85.8","111.636363636364","88.6363636363636"
"Sam Butler","87","West Coast Eagles","DEF","31","67.52631579","79.5714285714286","70.2","88.375","77.4285714285714","74.0909090909091","42","59","91.2","63.4444444444444","71.2"
"Travis Cloke","116","Western Bulldogs","FWD","29","75.46153846","76.0909090909091","87.2727272727273","100.090909090909","99.9","79.7","69.3","51.5","88.4545454545455","78.375","70.8"
"Brett Deledio","154","GWS Giants","FWD","29","96.63636364","116.181818181818","121.272727272727","100.666666666667","109.7","104.833333333333","103","109.090909090909","97.6666666666667","95.2","97.8333333333333"
"Sean Dempster","157","St Kilda","DEF","33","66.0049496","95.0909090909091","89.1818181818182","83.9090909090909","70.625","74.8333333333333","91.2","87.5","89.2727272727273","76.375","66.9090909090909"
"Richard Douglas","165","Adelaide Crows","MID,FWD","29","83.63636364","88.4166666666667","57","95.5454545454545","115.909090909091","89.1666666666667","103.571428571429","88.2222222222222","92.8","85.7272727272727","81.5454545454545"
"Shane Edwards","181","Richmond","MID,FWD","28","76.68421053","87.1818181818182","67.2222222222222","72.6666666666667","74.9","85.3333333333333","73.8","67.8571428571429","99.625","72.7777777777778","80.2"
"Lance Franklin","207","Sydney Swans","FWD","30","97.90909091","97","112.272727272727","86.3333333333333","88.5","111.4","85.2222222222222","61.8333333333333","93.4545454545455","96.7272727272727","99.0909090909091"
"James Frawley","209","Hawthorn","DEF","28","77.8","70","91.7777777777778","77.4285714285714","75.8","81.5833333333333","83","71.75","55.8333333333333","74.1","81.5"
"Jarryn Geary","217","St Kilda","DEF","28","69.04761905","79.3636363636364","64.2222222222222","91.7","69.5454545454545",,"69.4285714285714","83.5454545454545","77.4444444444444","70.3","67.9090909090909"
"Bryce Gibbs","220","Carlton","MID","27","112.5448052","107.454545454545","89.8181818181818","94.9090909090909","105","117.416666666667","109.1","80","85.875","107.818181818182","113.090909090909"
"Josh Gibson","221","Hawthorn","DEF","32","98.6445804","86.9","92","90.5833333333333","90.7777777777778","102.333333333333","108.375","98.5833333333333","111.555555555556","95.0909090909091","117.9"
"Sam Gilbert","224","St Kilda","DEF","30","72.09090909","81.5","70.6363636363636","101.666666666667","78","65","43.3333333333333","86.4","61","69.9090909090909","74.2727272727273"
"Brendon Goddard","230","Essendon","MID","31","101.5285489","107.111111111111","109.545454545455","121.272727272727","108.090909090909","104.545454545455","111.75","105.909090909091","111.272727272727","108.777777777778","109.272727272727"
"Todd Goldstein","233","North Melbourne","RUC","28","115.1904762","91.0833333333333","90.625","100.909090909091","108.181818181818","118.727272727273","85.9","150.6","116.090909090909","104.272727272727","127.2"
"Robbie Gray","241","Port Adelaide","MID","28","113.2631579",,"75.5","88.5454545454545","71.2857142857143","116","104.9","110.636363636364","126","114.363636363636","111.75"
"Ryan Griffen","244","GWS Giants","MID","30","95.46153846","102.636363636364","111.333333333333","122.75","121.875","105.3","90","102.1","81.2727272727273","91.375","102"
"Jonathon Griffin","245","Fremantle","RUC","31","74.61538462","92.2222222222222","90.75",,"85.5714285714286","26",,"63.8571428571429",,"63","79.7777777777778"
"Shaun Grigg","246","Richmond","MID","28","101.5","104.181818181818","107.090909090909","92.8333333333333","87.4","66.75","83.6","98.9166666666667","93.1","91","112"
"Heath Grundy","251","Sydney Swans","DEF","30","78.40909091","85.7272727272727","76.7272727272727","65.4545454545455","80.1818181818182","79","80.9","80.0909090909091","87.4","84.4545454545455","72.3636363636364"
"Shaun Hampson","263","Richmond","RUC","28","74.4","35.5","80.1818181818182",,"66.6666666666667","45","73.3333333333333","62",,"81.3","67.5"
"Jarrod Harbrow","266","Gold Coast Suns","DEF","28","77.71428571","71.3333333333333","69.25","84","89.6363636363636","75.5833333333333","91.9","72.3333333333333","84.4444444444444","89.8","66.7272727272727"
"Tom Hawkins","279","Geelong Cats","FWD","28","81.33333333","96","87.2","58.1","73.1","95","74","82.1","70","80.9","81.7272727272727"
"Shaun Higgins","288","North Melbourne","FWD","28","81.25","90","76.7",,"69","69.6","91.1","92","87","61","84.1428571428571"
"Josh Hill","289","West Coast Eagles","FWD","28","66.13303013","61","80.1","55.2222222222222","74.8181818181818","75","45.25","59.3","84.2222222222222","59.8","69.5454545454545"
"Heath Hocking","294","Essendon","MID","29","88","79.25","64.2","82.3333333333333","78.4545454545455","69.25","77.7777777777778","88",,,
"Luke Hodge","295","Hawthorn","DEF","32","85.0099725","89.5","76.5","104.818181818182","94.6666666666667","104.363636363636","100.125","113.6","127.428571428571","98.3333333333333","75.5"
"Bachar Houli","300","Richmond","DEF","28","99.16666667","91","87.1818181818182","96.8","99.1","86.1666666666667","87.4","98.6666666666667","98.3","100.8","98"
"Shannon Hurn","314","West Coast Eagles","DEF","29","81.5","82.9166666666667","87.7","11","87.8181818181818","88.5833333333333","87.3333333333333","73.2727272727273","70.2727272727273","83.2727272727273","79.7272727272727"
"Garrick Ibbotson","317","Fremantle","DEF","28","76.5625","81.4545454545455","75","97.4285714285714","112.666666666667","77.5","28.5","79.6363636363636","90.0909090909091","83.875","69.25"
"Kieren Jack","319","Sydney Swans","MID","29","95.52380952","117.181818181818","102.818181818182","103.545454545455","115.727272727273","103.916666666667","110.333333333333","102.909090909091","103.727272727273","92.6","98.1818181818182"
"Sam Jacobs","323","Adelaide Crows","RUC","28","95.95","105.363636363636","85.5","89.2727272727273","77.7272727272727","112.833333333333","100.9","102.272727272727","111.2","95.1111111111111","96.6363636363636"
"Steve Johnson","334","GWS Giants","FWD","33","78.33931393","103.4","99.7272727272727","131.75","120.375","102.25","118","93.4444444444444","79.5454545454545","90.9","78"
"Nathan Jones","345","Melbourne","MID","29","102.3636364","104.5","103.454545454545","97.1818181818182","88.4545454545455","119.583333333333","116.6","91.0909090909091","93.7272727272727","108.818181818182","95.9090909090909"
"James Kelly","350","Essendon","DEF,MID","33","102.8785388","111.5","100.875","96","101.833333333333","88.6363636363636","96.7","89.875","79.6666666666667","105.8","115.2"
"Josh Kennedy","351","West Coast Eagles","FWD","29","99.59090909","44.5","64.2","88.3636363636364","102.7","89.9","78.3","79.7272727272727","102.727272727273","91.4545454545455","107.727272727273"
"Josh Kennedy","352","Sydney Swans","MID","28","124","122","124.909090909091","102.636363636364","112.272727272727","107","127.9","131.454545454545","107.545454545455","130.636363636364","116.7"
"Nathan Krakouer","365","Port Adelaide","DEF","28","72.13333333",,,,,,,"76.7142857142857","59.4285714285714","74.5555555555556","68.5"
"Mark LeCras","372","West Coast Eagles","FWD","30","82.36363636",,,"97.3333333333333","79.1111111111111","91.4","106.8","80.6","91.0909090909091","84.8181818181818","79.9090909090909"
"Matthew Leuenberger","375","Essendon","RUC","28","78.85",,"70","104.083333333333","92.75","89","55.75","81.8571428571429","45.7142857142857","78.8","78.9"
"Jordan Lewis","376","Melbourne","MID","30","112.5909091","106.7","94.9","103.181818181818","103","130.666666666667","109.888888888889","108.583333333333","127","118.272727272727","106.909090909091"
"Tom Lonergan","384","Geelong Cats","DEF","32","56.74612613","75.5454545454545","55.4","48.7272727272727","56","66.8333333333333","53","68","77.3","63.1818181818182","58.2222222222222"
"David Mackay","397","Adelaide Crows","MID","28","78","73.2727272727273","82.2222222222222","66.8888888888889","74.9","77.1111111111111","92.2","51.5","76.3","83.7","69.8571428571429"
"Eric MacKenzie","398","West Coast Eagles","DEF","28","72","60.4545454545455","78.8888888888889","83.9090909090909","63.4444444444444","96.8333333333333","83.5",,,"65","73.2727272727273"
"Andrew Mackie","399","Geelong Cats","DEF","32","72.48049088","90.5454545454545","85.0909090909091","89.1818181818182","93.5454545454545","90.0833333333333","94.875","102.8","80.8","86.5","69.2"
"Jarrad McVeigh","432","Sydney Swans","DEF","31","86.84417625","109.454545454545","91.4545454545455","107.909090909091","110.272727272727","103.083333333333","105.1","99.7","108.6","98.6","86.625"
