#TYPE System.Management.Automation.PSCustomObject
"Name","ID","Club","Position","age","Projected_2017","2012_SecondHalf","2013_SecondHalf","2014_SecondHalf","2015_SecondHalf","2016_SecondHalf"
"Gary Ablett","3","Gold Coast Suns","MID","32","110.8587745","142.8","129.333333333333","144.533333333333","120.666666666667","119.071428571429"
"David Armitage","15","St Kilda","MID","28","98.13636364","97.3333333333333","97.0952380952381","107.066666666667","120.857142857143","98.1363636363636"
"Eddie Betts","39","Adelaide Crows","FWD","30","91.72727273","81.5909090909091","69.6875","76.5","81.1904761904762","91.7272727272727"
"Grant Birchall","42","Hawthorn","DEF","29","87.45454545","102.7","92.2142857142857","90.6363636363636","88.5555555555556","87.4545454545455"
"Travis Boak","50","Port Adelaide","MID","28","96.36363636","89.5555555555556","108.47619047619","108.095238095238","104.318181818182","96.3636363636364"
"Matthew Boyd","60","Western Bulldogs","DEF","34","104.8802479","125.363636363636","110.615384615385","102","116","112.65"
"Nathan Brown","75","St Kilda","DEF","28","64.75","56.6","56.9523809523809","26.3333333333333","60.0476190476191","64.75"
"Shaun Burgoyne","83","Hawthorn","DEF,MID","34","93.22970826","86.6666666666667","86.95","97.7272727272727","86.5454545454545","100.136363636364"
"Sam Butler","87","West Coast Eagles","DEF","31","67.52631579","75.6666666666667","83.2666666666667","71.4166666666667","82","67.5263157894737"
"Travis Cloke","116","Western Bulldogs","FWD","29","75.46153846","81.6818181818182","100","74.5","75.4117647058823","75.4615384615385"
"Brett Deledio","154","GWS Giants","FWD","29","96.63636364","118.727272727273","104.772727272727","104.222222222222","105.058823529412","96.6363636363636"
"Sean Dempster","157","St Kilda","DEF","33","66.0049496","92.1363636363636","78.3157894736842","82.2727272727273","88.4285714285714","70.8947368421053"
"Richard Douglas","165","Adelaide Crows","MID,FWD","29","83.63636364","80.5625","105.727272727273","94.4736842105263","89.8571428571429","83.6363636363636"
"Shane Edwards","181","Richmond","MID,FWD","28","76.68421053","78.2","73.8421052631579","80.0909090909091","84.8","76.6842105263158"
"Lance Franklin","207","Sydney Swans","FWD","30","97.90909091","107.5","87.4736842105263","99","82.2941176470588","97.9090909090909"
"James Frawley","209","Hawthorn","DEF","28","77.8","80.3157894736842","76.4705882352941","82.1904761904762","64.9285714285714","77.8"
"Jarryn Geary","217","St Kilda","DEF","28","69.04761905","72.55","80.0952380952381","69.4285714285714","80.8","69.0476190476191"
"Bryce Gibbs","220","Carlton","MID","27","112.5448052","98.6363636363636","99.1578947368421","113.636363636364","84.7","110.454545454545"
"Josh Gibson","221","Hawthorn","DEF","32","98.6445804","89.3157894736842","90.6666666666667","105.785714285714","104.142857142857","105.952380952381"
"Sam Gilbert","224","St Kilda","DEF","30","72.09090909","75.8095238095238","85.8888888888889","54.1666666666667","84.0909090909091","72.0909090909091"
"Brendon Goddard","230","Essendon","MID","31","101.5285489","108.45","114.681818181818","107.578947368421","108.590909090909","109.05"
"Todd Goldstein","233","North Melbourne","RUC","28","115.1904762","90.9","104.545454545455","103.095238095238","132.52380952381","115.190476190476"
"Robbie Gray","241","Port Adelaide","MID","28","113.2631579","75.5","81.8333333333333","110.954545454545","117.952380952381","113.263157894737"
"Ryan Griffen","244","GWS Giants","MID","30","95.46153846","106.55","122.4","98.0526315789474","91.1904761904762","95.4615384615385"
"Jonathon Griffin","245","Fremantle","RUC","31","74.61538462","91.7692307692308","85.5714285714286","26","63.8571428571429","74.6153846153846"
"Shaun Grigg","246","Richmond","MID","28","101.5","105.636363636364","90.3636363636364","78.7857142857143","96.2727272727273","101.5"
"Heath Grundy","251","Sydney Swans","DEF","30","78.40909091","81.2272727272727","72.8181818181818","79.8636363636364","83.5714285714286","78.4090909090909"
"Shaun Hampson","263","Richmond","RUC","28","74.4","73.3076923076923","66.6666666666667","68.1818181818182","62","74.4"
"Jarrod Harbrow","266","Gold Coast Suns","DEF","28","77.71428571","70.6923076923077","86.9523809523809","83","79.6","77.7142857142857"
"Tom Hawkins","279","Geelong Cats","FWD","28","81.33333333","91.8095238095238","65.6","85.4545454545455","76.3684210526316","81.3333333333333"
"Shaun Higgins","288","North Melbourne","FWD","28","81.25","83","69","80.35","89.3809523809524","81.25"
"Josh Hill","289","West Coast Eagles","FWD","28","66.13303013","70.55","66","61.7777777777778","71.1052631578947","64.9047619047619"
"Heath Hocking","294","Essendon","MID","29","88","70.8888888888889","79.8235294117647","72.9047619047619","88",
"Luke Hodge","295","Hawthorn","DEF","32","85.0099725","86.25","100.25","102.578947368421","119.294117647059","91.3076923076923"
"Bachar Houli","300","Richmond","DEF","28","99.16666667","89.0909090909091","97.95","86.7272727272727","98.5","99.1666666666667"
"Shannon Hurn","314","West Coast Eagles","DEF","29","81.5","85.0909090909091","81.4166666666667","88.1666666666667","71.7727272727273","81.5"
"Garrick Ibbotson","317","Fremantle","DEF","28","76.5625","78.3809523809524","104.461538461538","67.7","84.8636363636364","76.5625"
"Kieren Jack","319","Sydney Swans","MID","29","95.52380952","110","109.636363636364","106.666666666667","103.318181818182","95.5238095238095"
"Sam Jacobs","323","Adelaide Crows","RUC","28","95.95","95.9047619047619","83.5","107.409090909091","106.52380952381","95.95"
"Steve Johnson","334","GWS Giants","FWD","33","78.33931393","101.47619047619","126.0625","110.588235294118","85.8","84.1428571428571"
"Nathan Jones","345","Melbourne","MID","29","102.3636364","103.952380952381","92.8181818181818","118.227272727273","92.4090909090909","102.363636363636"
"James Kelly","350","Essendon","DEF,MID","33","102.8785388","106.777777777778","98.0588235294118","92.4761904761905","84.4705882352941","110.5"
"Josh Kennedy","351","West Coast Eagles","FWD","29","99.59090909","58.5714285714286","95.1904761904762","84.1","91.2272727272727","99.5909090909091"
"Josh Kennedy","352","Sydney Swans","MID","28","124","123.454545454545","107.454545454545","117.45","119.5","124"
"Nathan Krakouer","365","Port Adelaide","DEF","28","72.13333333",,,,"68.0714285714286","72.1333333333333"
"Mark LeCras","372","West Coast Eagles","FWD","30","82.36363636",,"86.4","96.5333333333333","86.0952380952381","82.3636363636364"
"Matthew Leuenberger","375","Essendon","RUC","28","78.85","70","99.55","62.4","63.7857142857143","78.85"
"Jordan Lewis","376","Melbourne","MID","30","112.5909091","100.8","103.095238095238","121.761904761905","115.368421052632","112.590909090909"
"Tom Lonergan","384","Geelong Cats","DEF","32","56.74612613","65.9523809523809","52.3636363636364","60.9047619047619","72.8947368421053","60.95"
"David Mackay","397","Adelaide Crows","MID","28","78","77.3","71.1052631578947","85.0526315789474","65.2777777777778","78"
"Eric MacKenzie","398","West Coast Eagles","DEF","28","72","68.75","74.7","90.7727272727273",,"72"
"Andrew Mackie","399","Geelong Cats","DEF","32","72.48049088","87.8181818181818","91.3636363636364","92","95.4666666666667","77.85"
"Jarrad McVeigh","432","Sydney Swans","DEF","31","86.84417625","100.454545454545","109.090909090909","104","104.15","93.2777777777778"
"Sam Mitchell","445","West Coast Eagles","MID","34","101.4819975","117.904761904762","105.47619047619","102.076923076923","113.95","109"
"Angus Monfries","447","Port Adelaide","FWD","30","68","74.5","90.2727272727273","65.5714285714286","68",
"Leigh Montagna","448","St Kilda","DEF","33","94.62624951","101.5","117.809523809524","97.75","114.882352941176","101.636363636364"
"Dale Morris","455","Western Bulldogs","DEF","34","71.83612185",,"70.3636363636364","69.7","68.8461538461538","77.1578947368421"
"David Mundy","461","Fremantle","MID","31","93.51653996","94.45","108.631578947368","105.272727272727","124.714285714286","100.444444444444"
"Marc Murphy","463","Carlton","MID","29","82.7","118.625","98.9047619047619","112.7","110.105263157895","82.7"
"Danyle Pearce","497","Fremantle","MID","30","82.13636364","76.8","81.0909090909091","80.8181818181818","78.7619047619048","82.1363636363636"
"Scott Pendlebury","498","Collingwood","MID","29","126.4545455","130.055555555556","134.272727272727","130.857142857143","126.409090909091","126.454545454545"
"Matt Priddis","517","West Coast Eagles","MID","31","111.3242882","113.3","110.428571428571","123.045454545455","115.545454545455","119.571428571429"
"Ben Reid","526","Collingwood","DEF","27","90.26469341","75.2352941176471","84.2857142857143","35.25","73.2","88.5882352941177"
"Nick Riewoldt","535","St Kilda","FWD","34","107.5558435","99.0526315789474","108.047619047619","98.4090909090909","96.2352941176471","115.52380952381"
"Jack Riewoldt","536","Richmond","FWD","28","86.18181818","90.1363636363636","80.5714285714286","81.3636363636364","85.2727272727273","86.1818181818182"
"Michael Rischitelli","538","Gold Coast Suns","MID","31","80.068365","74.7857142857143","82.0909090909091","79.9047619047619","101.285714285714","86"
"Matt Rosa","548","Gold Coast Suns","MID","30","75.86666667","96.0588235294118","74.3636363636364","94.7857142857143","81.9285714285714","75.8666666666667"
"Jarryd Roughead","549","Hawthorn","FWD","30","100.6","107.45","99.1363636363636","99.2","100.6",
"Patrick Ryder","555","Port Adelaide","RUC,FWD","28","90.44444444","103.666666666667","92.7058823529412","109.2","90.4444444444444",
"Joel Selwood","575","Geelong Cats","MID","28","118.7727273","125.75","129.590909090909","132.545454545455","118.15","118.772727272727"
"Heath Shaw","578","GWS Giants","DEF","31","107.1528014","98.1111111111111","93.0526315789474","91.6666666666667","113.454545454545","115.090909090909"
"Kade Simpson","587","Carlton","DEF","32","103.4286914","100.526315789474","100.090909090909","102.863636363636","94.8","111.090909090909"
"Nick Smith","594","Sydney Swans","DEF","28","70.66666667","75.0526315789474","71.2380952380952","78.65","79.9","70.6666666666667"
"Brent Stanton","602","Essendon","MID","30","110.1363636","115.8","108.095238095238","103.227272727273","110.136363636364",
"Matthew Suckling","610","Western Bulldogs","DEF","28","83.2","91.8181818181818",,"82.9047619047619","80.1904761904762","83.2"
"Andrew Swallow","612","North Melbourne","MID","29","94.71428571","124","111.705882352941","108.4","104.578947368421","94.7142857142857"
"Dale Thomas","622","Carlton","MID","29","80.11111111","102.058823529412","81.6","79.55","61.2","80.1111111111111"
"Lindsay Thomas","624","North Melbourne","FWD","28","63.61904762","73.4444444444444","70.3","66.3","63.3888888888889","63.6190476190476"
"Scott Thompson","625","Adelaide Crows","MID","33","93.14930138","114.272727272727","102.045454545455","103.368421052632","109.421052631579","100.05"
"Kurt Tippett","639","Sydney Swans","RUC,FWD","29","92.21428571","83.1111111111111","91.9","74.7272727272727","92.75","92.2142857142857"
"Travis Varcoe","655","Collingwood","FWD","28","67.23529412","12","58.9090909090909","67.9523809523809","77.0454545454545","67.2352941176471"
"Bernie Vince","656","Melbourne","DEF,MID","31","91.19636035","87.7647058823529","87.6666666666667","101.227272727273","100.47619047619","97.9523809523809"
"Jarrad Waite","659","North Melbourne","FWD","33","84.7235025","97.5454545454545","77.3333333333333","87.9375","77.4","91"
"Jobe Watson","671","Essendon","MID","31","88.91312625","131.5","109.315789473684","118.357142857143","95.5",
"Sharrod Wellingham","676","West Coast Eagles","DEF","28","66.22222222","84.0588235294118","78","73.3846153846154","80.3333333333333","66.2222222222222"
"Daniel Wells","677","Collingwood","MID","31","93.72343503","95.6315789473684","94.2727272727273","77.7142857142857","45","100.666666666667"
"Justin Westhoff","683","Port Adelaide","FWD","30","91.27272727","84.8636363636364","98.2857142857143","96.5909090909091","98.8636363636364","91.2727272727273"
"Matt White","688","Port Adelaide","MID,FWD","29","62.27777778","48.2857142857143","59.25","80.3684210526316","62.2777777777778","24"
"Jesse White","689","Collingwood","FWD","29","79","62.6666666666667","71.9166666666667","60.9444444444444","71.3333333333333","79"
"Dennis Armfield","708","Carlton","FWD","30","68.06666667","67.8095238095238","58.7727272727273","38.75","60.1666666666667","68.0666666666667"
"Tom Bellchambers","715","Essendon","RUC","27","69.28684302","90.5625","86.1111111111111","55.8571428571429","68",
