Name,ID,Club,Position,age,SCAve
Patrick Dangerfield,732,Geelong Cats,MID,26,131.8
Scott Pendlebury,498,Collingwood,MID,29,118.7
Max Gawn,1001,Melbourne,RUC,25,118.5
Gary Ablett,3,Gold Coast Suns,MID,32,114.1
Josh Kennedy,352,Sydney Swans,MID,28,113.4
Dan Hannebery,875,Sydney Swans,MID,25,113.4
Josh Kennedy,351,West Coast Eagles,FWD,29,113.4
Lachie Neale,1358,Fremantle,MID,23,112.6
Luke Parker,1207,Sydney Swans,MID,24,111.9
Zach Merrett,1603,Essendon,MID,21,111.5
Joel Selwood,575,Geelong Cats,MID,28,111.5
Adam Treloar,1397,Collingwood,MID,23,111.3
Tom Rockliff,924,Brisbane Lions,MID,26,120
Matt Priddis,517,West Coast Eagles,MID,31,109.1
Dayne Zorko,1419,Brisbane Lions,MID,27,109
Sam Docherty,1293,Carlton,DEF,23,108.7
Rory Sloane,939,Adelaide Crows,MID,26,108.6
Todd Goldstein,233,North Melbourne,RUC,28,108.1
Robbie Gray,241,Port Adelaide,MID,28,108.1
Dustin Martin,1034,Richmond,MID,25,108.1
Marcus Bontempelli,1540,Western Bulldogs,MID,21,107.7
Patrick Cripps,1548,Carlton,MID,21,107.6
Kade Simpson,587,Carlton,DEF,32,106.4
Steele Sidebottom,934,Collingwood,MID,26,106.2
Bryce Gibbs,220,Carlton,MID,27,106.1
Heath Shaw,578,GWS Giants,DEF,31,106
Stephen Coniglio,1280,GWS Giants,MID,23,105.9
Nic Naitanui,909,West Coast Eagles,RUC,26,105.9
Luke Shuey,932,West Coast Eagles,MID,26,105.6
Callan Ward,822,GWS Giants,MID,26,105.6
Nat Fyfe,1000,FRE,MID,25,120
Sam Mitchell,445,West Coast Eagles,MID,34,104.4
Tom Mitchell,1353,Hawthorn,MID,23,104
Matthew Boyd,60,Western Bulldogs,DEF,34,103.6
Dyson Heppell,1149,Essendon,MID,24,103.3517447
Jack Steven,809,St Kilda,MID,26,103
Ed Curnow,730,Carlton,MID,27,101.5
Nick Riewoldt,535,St Kilda,FWD,34,101
