Name,ID,Club,Position,age,Projected_2017
Gary Ablett,3,Gold Coast Suns,MID,32,110.8587745
David Armitage,15,St Kilda,MID,28,98.13636364
Eddie Betts,39,Adelaide Crows,FWD,30,91.72727273
Grant Birchall,42,Hawthorn,DEF,29,87.45454545
Travis Boak,50,Port Adelaide,MID,28,96.36363636
Matthew Boyd,60,Western Bulldogs,DEF,34,104.8802479
Nathan Brown,75,St Kilda,DEF,28,64.75
Shaun Burgoyne,83,Hawthorn,"DEF,MID",34,93.22970826
Sam Butler,87,West Coast Eagles,DEF,31,67.52631579
Travis Cloke,116,Western Bulldogs,FWD,29,75.46153846
Brett Deledio,154,GWS Giants,FWD,29,96.63636364
Sean Dempster,157,St Kilda,DEF,33,66.0049496
Richard Douglas,165,Adelaide Crows,"MID,FWD",29,83.63636364
Shane Edwards,181,Richmond,"MID,FWD",28,76.68421053
Lance Franklin,207,Sydney Swans,FWD,30,97.90909091
James Frawley,209,Hawthorn,DEF,28,77.8
Jarryn Geary,217,St Kilda,DEF,28,69.04761905
Bryce Gibbs,220,Carlton,MID,27,112.5448052
Josh Gibson,221,Hawthorn,DEF,32,98.6445804
Sam Gilbert,224,St Kilda,DEF,30,72.09090909
Brendon Goddard,230,Essendon,MID,31,101.5285489
Todd Goldstein,233,North Melbourne,RUC,28,115.1904762
Robbie Gray,241,Port Adelaide,MID,28,113.2631579
Ryan Griffen,244,GWS Giants,MID,30,95.46153846
Jonathon Griffin,245,Fremantle,RUC,31,74.61538462
Shaun Grigg,246,Richmond,MID,28,101.5
Heath Grundy,251,Sydney Swans,DEF,30,78.40909091
Shaun Hampson,263,Richmond,RUC,28,74.4
Jarrod Harbrow,266,Gold Coast Suns,DEF,28,77.71428571
Tom Hawkins,279,Geelong Cats,FWD,28,81.33333333
Shaun Higgins,288,North Melbourne,FWD,28,81.25
Josh Hill,289,West Coast Eagles,FWD,28,66.13303013
Heath Hocking,294,Essendon,MID,29,88
Luke Hodge,295,Hawthorn,DEF,32,85.0099725
Bachar Houli,300,Richmond,DEF,28,99.16666667
Shannon Hurn,314,West Coast Eagles,DEF,29,81.5
Garrick Ibbotson,317,Fremantle,DEF,28,76.5625
Kieren Jack,319,Sydney Swans,MID,29,95.52380952
Sam Jacobs,323,Adelaide Crows,RUC,28,95.95
