Player,ID,Club,Position,Age,Games,UF,Total,available,onTeam,Link,Std
Dion Prestia,39,GCS,MID,23.3,8,107.4,859.2,TRUE,FALSE,pp-gold-coast-suns--dion-prestia,8.626164518
Ben Reid,263,COL,"DEF,FWD",26,5,73.2,366,TRUE,FALSE,pp-collingwood-magpies--ben-reid,9.208691547
Will Langford,201,HAW,MID,23.6,12,80.3,963.6,TRUE,FALSE,pp-hawthorn-hawks--william-langford,10.0826133
Heath Grundy,169,SYD,DEF,29.7,21,83.6,1755.6,TRUE,FALSE,pp-sydney-swans--heath-grundy,11.38231711
Jarrod Witts,165,COL,"RUC,FWD",23.4,11,84.2,926.2,TRUE,FALSE,pp-collingwood-magpies--jarrod-witts,12.32292763
Brad Sheppard,183,WCE,DEF,24.8,22,81.7,1797.4,TRUE,FALSE,pp-west-coast-eagles--bradley-sheppard,12.72690166
Easton Wood,114,WBD,DEF,26.4,21,91.1,1913.1,TRUE,FALSE,pp-western-bulldogs--easton-wood,13.42864742
Kade Simpson,98,CAR,DEF,31.8,20,94.8,1896,TRUE,FALSE,pp-carlton-blues--kade-simpson,14.00901965
Jason Johannisen,208,WBD,DEF,23,20,79.6,1592,TRUE,FALSE,pp-western-bulldogs--jason-johannisen,14.0355751
Shaun Grigg,87,RIC,MID,27.8,22,96.3,2118.6,TRUE,FALSE,pp-richmond-tigers--shaun-grigg,14.2895233
Steven May,207,GCS,DEF,24.1,18,79.8,1436.4,TRUE,FALSE,pp-gold-coast-suns--steven-may,14.54056755
Jake Kolodjashnij,247,GEE,DEF,20,9,74.4,669.6,TRUE,FALSE,pp-geelong-cats--jake-kolodjashnij,14.57547407
Nick Malceski,242,GCS,DEF,31.5,16,75.4,1206.4,TRUE,FALSE,pp-gold-coast-suns--nick-malceski,14.67878287
David Swallow,93,GCS,MID,23.3,6,95.8,574.8,TRUE,FALSE,pp-gold-coast-suns--david-swallow,14.83239697
Ben Newton,281,MEL,"MID,FWD",23,11,71.5,786.5,TRUE,FALSE,pp-melbourne-demons--ben-newton,14.87462757
Daniel Rich,173,BRI,"DEF,MID",25.7,21,82.8,1738.8,TRUE,FALSE,pp-brisbane-lions--daniel-rich,15.03709698
James Gwilt,175,ESS,DEF,29,11,82.7,909.7,TRUE,FALSE,pp-essendon-bombers--james-gwilt,15.2792194
Sam Docherty,106,CAR,DEF,22.3,19,92.6,1759.4,TRUE,FALSE,pp-carlton-blues--sam-docherty,15.29801424
Nathan van Berlo,268,ADL,"DEF,MID",29,18,72.7,1308.6,TRUE,FALSE,pp-adelaide-crows--nathan-van-berlo,15.4404824
Troy Chaplin,233,RIC,DEF,30,21,76.4,1604.4,TRUE,FALSE,pp-richmond-tigers--troy-chaplin,15.53214792
Shane Mumford,36,GWS,RUC,29.6,11,108.2,1190.2,TRUE,FALSE,pp-greater-western-sydney-giants--shane-mumford,15.5516734
Tom Langdon,105,COL,DEF,21.7,22,92.6,2037.2,TRUE,FALSE,pp-collingwood-magpies--tom-langdon,15.59803517
Robert Murphy,147,WBD,DEF,33.7,20,86.8,1736,TRUE,FALSE,pp-western-bulldogs--robert-murphy,15.60996645
Scott Thompson,231,NTM,DEF,29.9,21,76.6,1608.6,TRUE,FALSE,pp-adelaide-crows--scott-thompson,15.7145671
Jarryn Geary,194,STK,DEF,27,20,80.8,1616,TRUE,FALSE,pp-st-kilda-saints--jarryn-geary,15.95684971
Tom Hawkins,235,GEE,FWD,27.6,19,76.4,1451.6,TRUE,FALSE,pp-geelong-cats--tom-hawkins,16.15567541
David Zaharakis,221,ESS,MID,26,16,77.8,1244.8,TRUE,FALSE,pp-essendon-bombers--david-zaharakis,16.4538496
Brandon Ellis,61,RIC,MID,22.5,22,103,2266,TRUE,FALSE,pp-richmond-tigers--brandon-ellis,16.53102815
Harry Taylor,117,GEE,DEF,29.7,21,90.6,1902.6,TRUE,FALSE,pp-geelong-cats--harry-taylor,16.65675896
Nick Smith,204,SYD,DEF,27.7,20,79.9,1598,TRUE,FALSE,pp-sydney-swans--nick-smith-1,16.66259599
Aaron Sandilands,57,FRE,RUC,33.2,21,103.9,2181.9,TRUE,FALSE,pp-fremantle-dockers--aaron-sandilands,16.71568981
Matthew Broadbent,177,PAP,DEF,25.5,21,82.2,1726.2,TRUE,FALSE,pp-port-adelaide-power--matthew-broadbent,16.73106606
Nick Vlastuin,243,RIC,DEF,21.8,22,75.3,1656.6,TRUE,FALSE,pp-richmond-tigers--nick-vlastuin,16.73759798
Touk Miller,255,GCS,"MID,FWD",19,22,73.7,1621.4,TRUE,FALSE,pp-gold-coast-suns--touk-miller,16.80503171
Ivan Maric,68,RIC,RUC,30.1,21,100.7,2114.7,TRUE,FALSE,pp-richmond-tigers--ivan-maric,16.85116924
Cyril Rioli,119,HAW,FWD,26.6,20,90.2,1804,TRUE,FALSE,pp-hawthorn-hawks--cyril-rioli,16.92708823
Jordan Roughead,256,WBD,"DEF,RUC",25,16,73.7,1179.2,TRUE,FALSE,pp-western-bulldogs--jordan-roughead,16.93074127
Jack Macrae,27,WBD,MID,21.5,20,111.4,2228,TRUE,FALSE,pp-western-bulldogs--jackson-macrae,16.9314407
Maverick Weller,206,STK,"MID,FWD",23,20,79.8,1596,TRUE,FALSE,pp-st-kilda-saints--maverick-weller,17.01539551
Nick Haynes,269,GWS,DEF,23.8,17,72.6,1234.2,TRUE,FALSE,pp-greater-western-sydney-giants--nick-haynes,17.05484233
Richard Douglas,121,ADL,MID,29,14,89.9,1258.6,TRUE,FALSE,pp-adelaide-crows--richard-douglas,17.05582302
Dom Tyson,134,MEL,MID,22.7,15,87.7,1315.5,TRUE,FALSE,pp-melbourne-demons--dom-tyson,17.18332525
Adam Saad,223,GCS,DEF,21,16,77.6,1241.6,TRUE,FALSE,pp-gold-coast-suns--adam-saad,17.32050808
Sam Gilbert,167,STK,"DEF,MID",29,11,84.1,925.1,TRUE,FALSE,pp-st-kilda-saints--sam-gilbert,17.44028774
Mark Blicavs,20,GEE,"MID,RUC",24.8,21,114.9,2412.9,TRUE,FALSE,pp-geelong-cats--mark-blicavs,17.44842741
Sharrod Wellingham,200,WCE,DEF,27.6,21,80.3,1686.3,TRUE,FALSE,pp-west-coast-eagles--sharrod-wellingham,17.45252063
Josh Jenkins,283,ADL,FWD,27,19,71.3,1354.7,TRUE,FALSE,pp-adelaide-crows--josh-jenkins,17.54009609
Nic Naitanui,38,WCE,RUC,25.8,20,107.4,2148,TRUE,FALSE,pp-west-coast-eagles--nicholas-naitanui,17.61906862
Marco Paparone,171,BRI,DEF,21,22,83.2,1830.4,TRUE,FALSE,pp-brisbane-lions--marco-paparone,17.78101522
Shaun Burgoyne,151,HAW,DEF,33.3,22,86.5,1903,TRUE,FALSE,pp-hawthorn-hawks--shaun-burgoyne,17.80996365
Lynden Dunn,193,MEL,DEF,28.8,22,80.9,1779.8,TRUE,FALSE,pp-melbourne-demons--lynden-dunn,17.83304001
Tom Lynch,139,ADL,FWD,25.4,21,87.3,1833.3,TRUE,FALSE,pp-adelaide-crows--tom-lynch,17.85537134
Sean Dempster,131,STK,DEF,32.1,21,88.4,1856.4,TRUE,FALSE,pp-st-kilda-saints--sean-dempster,17.98703237
Jake Stringer,229,WBD,FWD,21,21,77,1617,TRUE,FALSE,pp-western-bulldogs--jake-stringer,17.99484053
Chad Wingard,91,PAP,FWD,22.5,22,95.8,2107.6,TRUE,FALSE,pp-port-adelaide-power--chad-wingard,18.06272141
Jack Hombsch,230,PAP,DEF,22.9,22,76.6,1685.2,TRUE,FALSE,pp-port-adelaide-power--jack-hombsch,18.29318706
Kyle Cheney,170,ADL,DEF,26.4,10,83.3,833,TRUE,FALSE,pp-adelaide-crows--kyle-cheney,18.57148352
Ricky Henderson,182,ADL,"DEF,MID",27,15,81.8,1227,TRUE,FALSE,pp-adelaide-crows--ricky-henderson,18.57802081
Jonathon Ceglar,166,HAW,RUC,25,14,84.1,1177.4,TRUE,FALSE,pp-hawthorn-hawks--jonathon-ceglar,18.62837845
Jackson Thurlow,246,GEE,DEF,21,19,74.4,1413.6,TRUE,FALSE,pp-geelong-cats--jackson-thurlow,18.6751234
Tom Lonergan,266,GEE,DEF,31,19,72.9,1385.1,TRUE,FALSE,pp-geelong-cats--tom-lonergan,18.68263728
Jake Lloyd,270,SYD,MID,22,20,72.4,1448,TRUE,FALSE,pp-sydney-swans--jake-lloyd,18.72909361
Hamish Hartlett,41,PAP,MID,25.5,22,106.5,2343,TRUE,FALSE,pp-port-adelaide-power--hamish-hartlett,18.74573545
Jay Schulz,275,PAP,FWD,30.8,20,71.9,1438,TRUE,FALSE,pp-port-adelaide-power--jay-schulz,18.80761324
Will Minson,210,WBD,RUC,30.8,9,79.6,716.4,TRUE,FALSE,pp-western-bulldogs--will-minson,18.86207247
Matthew Kreuzer,97,CAR,RUC,26,13,95,1235,TRUE,FALSE,pp-carlton-blues--matthew-kreuzer,18.87441628
Travis Boak,52,PAP,MID,27.5,22,104.3,2294.6,TRUE,FALSE,pp-port-adelaide-power--travis-boak,18.92666412
Nat Fyfe,2,FRE,MID,24.4,18,126.4,2275.2,TRUE,FALSE,pp-fremantle-dockers--nathan-fyfe,18.95962342
Allen Christensen,112,BRI,"MID,FWD",24.8,22,91.2,2006.4,TRUE,FALSE,pp-brisbane-lions--allen-christensen,18.99418913
Mark Baguley,133,ESS,DEF,28,22,87.9,1933.8,TRUE,FALSE,pp-essendon-bombers--mark-baguley,19.0642568
Jesse Hogan,185,MEL,FWD,20,20,81.5,1630,TRUE,FALSE,pp-melbourne-demons--jesse-hogan,19.08319735
Tory Dickson,212,WBD,FWD,28,22,78.8,1733.6,TRUE,FALSE,pp-western-bulldogs--tory-dickson,19.08995566
Mark LeCras,153,WCE,FWD,29.4,21,86.1,1808.1,TRUE,FALSE,pp-west-coast-eagles--mark-lecras,19.12303522
Jack Newnes,109,STK,MID,23,22,91.8,2019.6,TRUE,FALSE,pp-st-kilda-saints--jack-newnes,19.18219774
Robbie Gray,11,PAP,MID,27.8,21,118,2478,TRUE,FALSE,pp-port-adelaide-power--robert-gray,19.21358646
